id_piscine,id_ban_choisi_humain,id_ban_assigne_auto,concordance,n_votes,accord
168,49035_0119_00004,49035_0119_00002,false,1,1.00
169,49035_0031_00007,49035_0031_00007,true,1,1.00
170,49035_0031_00001,49035_0031_00001,true,1,1.00
171,49035_0004_00008_bis,49035_0004_00008_bis,true,1,1.00
172,,49035_0190_00012,,2,0.50
173,49035_0121_00005,49035_0121_00005,true,1,1.00
174,49035_0190_00004,49035_0190_00004,true,1,1.00
175,49035_0121_00004,49035_0121_00004,true,1,1.00
176,49035_0109_00023,49035_0109_00023,true,1,1.00
177,49035_0076_00008,49035_0076_00008,true,1,1.00
178,49035_0109_00024,49035_0109_00024,true,1,1.00
179,49035_0210_00073,49035_0210_00073,true,1,1.00
18,49035_0081_00001,49035_0081_00001,true,1,1.00
180,49035_0205_00006,49035_0205_00006,true,1,1.00
181,49035_0120_00026,49035_0120_00026,true,1,1.00
182,49035_0104_00004,49035_0104_00004,true,1,1.00
183,49035_chwmm8_00005,49035_chwmm8_00005,true,1,1.00
184,49035_b559_00001_qua,49035_b559_00001_ter,false,1,1.00
185,49035_0105_00011,49035_0105_00011,true,1,1.00
186,49035_b559_00001_bis,49035_b559_00001_bis,true,1,1.00
187,49035_0105_00003,49035_0105_00003,true,1,1.00
188,49035_0061_00006,49035_0061_00006,true,1,1.00
189,49035_0061_00010,49035_0061_00010,true,1,1.00
19,49035_0193_00019,49035_0193_00019,true,1,1.00
190,49035_0054_00002,49035_0054_00002,true,1,1.00
191,49035_0061_00018,49035_0061_00018,true,1,1.00
192,49035_b559_00004,49035_b559_00004,true,1,1.00
193,49035_0108_00002,49035_0108_00002,true,1,1.00
